State,District,Crime Category,Crime Type,Incident Date,Reported Crimes
Johor,Batu Pahat,property,Theft Vehicle Motorcycle,2021,59
Johor,Batu Pahat,property,Theft Vehicle Motorcycle,2022,76
Johor,Iskandar Puteri,assault,Every Crime,2016,0
Johor,Iskandar Puteri,assault,Every Crime,2017,195
Johor,Iskandar Puteri,assault,Every Crime,2018,149
Johor,Iskandar Puteri,assault,Every Crime,2019,170
Johor,Iskandar Puteri,assault,Every Crime,2020,96
Johor,Iskandar Puteri,assault,Every Crime,2021,68
Johor,Iskandar Puteri,assault,Every Crime,2022,80
Johor,Iskandar Puteri,assault,Causing Injury,2016,0
Johor,Iskandar Puteri,assault,Causing Injury,2017,54
Johor,Iskandar Puteri,assault,Causing Injury,2018,61
Johor,Iskandar Puteri,assault,Causing Injury,2019,46
Johor,Iskandar Puteri,assault,Causing Injury,2020,23
Johor,Iskandar Puteri,assault,Causing Injury,2021,20
Johor,Iskandar Puteri,assault,Causing Injury,2022,30
Johor,Iskandar Puteri,assault,Murder,2016,0
Johor,Iskandar Puteri,assault,Murder,2017,4
Johor,Iskandar Puteri,assault,Murder,2018,4
Johor,Iskandar Puteri,assault,Murder,2019,4
Johor,Iskandar Puteri,assault,Murder,2020,3
Johor,Iskandar Puteri,assault,Murder,2021,2
Johor,Iskandar Puteri,assault,Murder,2022,3
Johor,Iskandar Puteri,assault,Rape,2016,0
Johor,Iskandar Puteri,assault,Rape,2017,9
Johor,Iskandar Puteri,assault,Rape,2018,13
Johor,Iskandar Puteri,assault,Rape,2019,16
Johor,Iskandar Puteri,assault,Rape,2020,9
Johor,Iskandar Puteri,assault,Rape,2021,4
Johor,Iskandar Puteri,assault,Rape,2022,9
Johor,Iskandar Puteri,assault,Robbery Gang Armed,2016,0
Johor,Iskandar Puteri,assault,Robbery Gang Armed,2017,0
Johor,Iskandar Puteri,assault,Robbery Gang Armed,2018,0
Johor,Iskandar Puteri,assault,Robbery Gang Armed,2019,0
Johor,Iskandar Puteri,assault,Robbery Gang Armed,2020,0
Johor,Iskandar Puteri,assault,Robbery Gang Armed,2021,1
Johor,Iskandar Puteri,assault,Robbery Gang Armed,2022,0
Johor,Iskandar Puteri,assault,Robbery Gang Unarmed,2016,0
Johor,Iskandar Puteri,assault,Robbery Gang Unarmed,2017,102
Johor,Iskandar Puteri,assault,Robbery Gang Unarmed,2018,53
Johor,Iskandar Puteri,assault,Robbery Gang Unarmed,2019,74
Johor,Iskandar Puteri,assault,Robbery Gang Unarmed,2020,17
Johor,Iskandar Puteri,assault,Robbery Gang Unarmed,2021,31
Johor,Iskandar Puteri,assault,Robbery Gang Unarmed,2022,21
Johor,Iskandar Puteri,assault,Robbery Solo Armed,2016,0
Johor,Iskandar Puteri,assault,Robbery Solo Armed,2017,0
Johor,Iskandar Puteri,assault,Robbery Solo Armed,2018,0
Johor,Iskandar Puteri,assault,Robbery Solo Armed,2019,0
Johor,Iskandar Puteri,assault,Robbery Solo Armed,2020,0
Johor,Iskandar Puteri,assault,Robbery Solo Armed,2021,0
Johor,Iskandar Puteri,assault,Robbery Solo Armed,2022,0
Johor,Iskandar Puteri,assault,Robbery Solo Unarmed,2016,0
Johor,Iskandar Puteri,assault,Robbery Solo Unarmed,2017,26
Johor,Iskandar Puteri,assault,Robbery Solo Unarmed,2018,18
Johor,Iskandar Puteri,assault,Robbery Solo Unarmed,2019,30
Johor,Iskandar Puteri,assault,Robbery Solo Unarmed,2020,44
Johor,Iskandar Puteri,assault,Robbery Solo Unarmed,2021,10
Johor,Iskandar Puteri,assault,Robbery Solo Unarmed,2022,17
Johor,Iskandar Puteri,property,Every Crime,2016,0
Johor,Iskandar Puteri,property,Every Crime,2017,727
Johor,Iskandar Puteri,property,Every Crime,2018,784
Johor,Iskandar Puteri,property,Every Crime,2019,784
Johor,Iskandar Puteri,property,Every Crime,2020,538
Johor,Iskandar Puteri,property,Every Crime,2021,332
Johor,Iskandar Puteri,property,Every Crime,2022,356
Johor,Iskandar Puteri,property,Break In,2016,0
Johor,Iskandar Puteri,property,Break In,2017,92
Johor,Iskandar Puteri,property,Break In,2018,47
Johor,Iskandar Puteri,property,Break In,2019,76
Johor,Iskandar Puteri,property,Break In,2020,77
Johor,Iskandar Puteri,property,Break In,2021,68
Johor,Iskandar Puteri,property,Break In,2022,77
Johor,Iskandar Puteri,property,Theft Other,2016,0
Johor,Iskandar Puteri,property,Theft Other,2017,151
Johor,Iskandar Puteri,property,Theft Other,2018,176
Johor,Iskandar Puteri,property,Theft Other,2019,228
Johor,Iskandar Puteri,property,Theft Other,2020,156
Johor,Iskandar Puteri,property,Theft Other,2021,114
Johor,Iskandar Puteri,property,Theft Other,2022,125
Johor,Iskandar Puteri,property,Theft Vehicle Lorry,2016,0
Johor,Iskandar Puteri,property,Theft Vehicle Lorry,2017,17
Johor,Iskandar Puteri,property,Theft Vehicle Lorry,2018,20
Johor,Iskandar Puteri,property,Theft Vehicle Lorry,2019,36
Johor,Iskandar Puteri,property,Theft Vehicle Lorry,2020,11
Johor,Iskandar Puteri,property,Theft Vehicle Lorry,2021,6
Johor,Iskandar Puteri,property,Theft Vehicle Lorry,2022,5
Johor,Iskandar Puteri,property,Theft Vehicle Motorcar,2016,0
Johor,Iskandar Puteri,property,Theft Vehicle Motorcar,2017,130
Johor,Iskandar Puteri,property,Theft Vehicle Motorcar,2018,138
Johor,Iskandar Puteri,property,Theft Vehicle Motorcar,2019,131
Johor,Iskandar Puteri,property,Theft Vehicle Motorcar,2020,122
Johor,Iskandar Puteri,property,Theft Vehicle Motorcar,2021,56
Johor,Iskandar Puteri,property,Theft Vehicle Motorcar,2022,54
Johor,Iskandar Puteri,property,Theft Vehicle Motorcycle,2016,0
Johor,Iskandar Puteri,property,Theft Vehicle Motorcycle,2017,337
Johor,Iskandar Puteri,property,Theft Vehicle Motorcycle,2018,403
Johor,Iskandar Puteri,property,Theft Vehicle Motorcycle,2019,313
Johor,Iskandar Puteri,property,Theft Vehicle Motorcycle,2020,172
Johor,Iskandar Puteri,property,Theft Vehicle Motorcycle,2021,88
Johor,Iskandar Puteri,property,Theft Vehicle Motorcycle,2022,95
Johor,Johor Bahru Selatan,assault,Every Crime,2016,977
Johor,Johor Bahru Selatan,assault,Every Crime,2017,956
Johor,Johor Bahru Selatan,assault,Every Crime,2018,474
Johor,Johor Bahru Selatan,assault,Every Crime,2019,429
Johor,Johor Bahru Selatan,assault,Every Crime,2020,226
Johor,Johor Bahru Selatan,assault,Every Crime,2021,150
Johor,Johor Bahru Selatan,assault,Every Crime,2022,213
Johor,Johor Bahru Selatan,assault,Causing Injury,2016,200
Johor,Johor Bahru Selatan,assault,Causing Injury,2017,170
Johor,Johor Bahru Selatan,assault,Causing Injury,2018,115
Johor,Johor Bahru Selatan,assault,Causing Injury,2019,126
Johor,Johor Bahru Selatan,assault,Causing Injury,2020,67
Johor,Johor Bahru Selatan,assault,Causing Injury,2021,62
Johor,Johor Bahru Selatan,assault,Causing Injury,2022,45
Johor,Johor Bahru Selatan,assault,Murder,2016,15
Johor,Johor Bahru Selatan,assault,Murder,2017,23
Johor,Johor Bahru Selatan,assault,Murder,2018,9
Johor,Johor Bahru Selatan,assault,Murder,2019,10
Johor,Johor Bahru Selatan,assault,Murder,2020,4
Johor,Johor Bahru Selatan,assault,Murder,2021,5
Johor,Johor Bahru Selatan,assault,Murder,2022,7
Johor,Johor Bahru Selatan,assault,Rape,2016,42
Johor,Johor Bahru Selatan,assault,Rape,2017,28
Johor,Johor Bahru Selatan,assault,Rape,2018,24
Johor,Johor Bahru Selatan,assault,Rape,2019,27
Johor,Johor Bahru Selatan,assault,Rape,2020,17
Johor,Johor Bahru Selatan,assault,Rape,2021,17
Johor,Johor Bahru Selatan,assault,Rape,2022,26
Johor,Johor Bahru Selatan,assault,Robbery Gang Armed,2016,5
Johor,Johor Bahru Selatan,assault,Robbery Gang Armed,2017,0
Johor,Johor Bahru Selatan,assault,Robbery Gang Armed,2018,1
Johor,Johor Bahru Selatan,assault,Robbery Gang Armed,2019,0
Johor,Johor Bahru Selatan,assault,Robbery Gang Armed,2020,0
Johor,Johor Bahru Selatan,assault,Robbery Gang Armed,2021,0
Johor,Johor Bahru Selatan,assault,Robbery Gang Armed,2022,0
Johor,Johor Bahru Selatan,assault,Robbery Gang Unarmed,2016,506
Johor,Johor Bahru Selatan,assault,Robbery Gang Unarmed,2017,528
Johor,Johor Bahru Selatan,assault,Robbery Gang Unarmed,2018,217
Johor,Johor Bahru Selatan,assault,Robbery Gang Unarmed,2019,192
Johor,Johor Bahru Selatan,assault,Robbery Gang Unarmed,2020,44
Johor,Johor Bahru Selatan,assault,Robbery Gang Unarmed,2021,39
Johor,Johor Bahru Selatan,assault,Robbery Gang Unarmed,2022,68
Johor,Johor Bahru Selatan,assault,Robbery Solo Armed,2016,2
Johor,Johor Bahru Selatan,assault,Robbery Solo Armed,2017,0
Johor,Johor Bahru Selatan,assault,Robbery Solo Armed,2018,0
Johor,Johor Bahru Selatan,assault,Robbery Solo Armed,2019,1
Johor,Johor Bahru Selatan,assault,Robbery Solo Armed,2020,0
Johor,Johor Bahru Selatan,assault,Robbery Solo Armed,2021,0
Johor,Johor Bahru Selatan,assault,Robbery Solo Armed,2022,0
Johor,Johor Bahru Selatan,assault,Robbery Solo Unarmed,2016,207
Johor,Johor Bahru Selatan,assault,Robbery Solo Unarmed,2017,207
Johor,Johor Bahru Selatan,assault,Robbery Solo Unarmed,2018,108
Johor,Johor Bahru Selatan,assault,Robbery Solo Unarmed,2019,73
Johor,Johor Bahru Selatan,assault,Robbery Solo Unarmed,2020,94
Johor,Johor Bahru Selatan,assault,Robbery Solo Unarmed,2021,27
Johor,Johor Bahru Selatan,assault,Robbery Solo Unarmed,2022,67
Johor,Johor Bahru Selatan,property,Every Crime,2016,2802
Johor,Johor Bahru Selatan,property,Every Crime,2017,2275
Johor,Johor Bahru Selatan,property,Every Crime,2018,2042
Johor,Johor Bahru Selatan,property,Every Crime,2019,1766
Johor,Johor Bahru Selatan,property,Every Crime,2020,1265
Johor,Johor Bahru Selatan,property,Every Crime,2021,609
Johor,Johor Bahru Selatan,property,Every Crime,2022,733
Johor,Johor Bahru Selatan,property,Break In,2016,432
Johor,Johor Bahru Selatan,property,Break In,2017,263
Johor,Johor Bahru Selatan,property,Break In,2018,220
Johor,Johor Bahru Selatan,property,Break In,2019,283
Johor,Johor Bahru Selatan,property,Break In,2020,287
Johor,Johor Bahru Selatan,property,Break In,2021,191
Johor,Johor Bahru Selatan,property,Break In,2022,154
Johor,Johor Bahru Selatan,property,Theft Other,2016,658
Johor,Johor Bahru Selatan,property,Theft Other,2017,658
Johor,Johor Bahru Selatan,property,Theft Other,2018,539
Johor,Johor Bahru Selatan,property,Theft Other,2019,430
Johor,Johor Bahru Selatan,property,Theft Other,2020,315
Johor,Johor Bahru Selatan,property,Theft Other,2021,142
Johor,Johor Bahru Selatan,property,Theft Other,2022,253
Johor,Johor Bahru Selatan,property,Theft Vehicle Lorry,2016,87
Johor,Johor Bahru Selatan,property,Theft Vehicle Lorry,2017,65
Johor,Johor Bahru Selatan,property,Theft Vehicle Lorry,2018,55
Johor,Johor Bahru Selatan,property,Theft Vehicle Lorry,2019,37
Johor,Johor Bahru Selatan,property,Theft Vehicle Lorry,2020,16
Johor,Johor Bahru Selatan,property,Theft Vehicle Lorry,2021,10
Johor,Johor Bahru Selatan,property,Theft Vehicle Lorry,2022,5
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcar,2016,514
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcar,2017,344
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcar,2018,317
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcar,2019,283
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcar,2020,205
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcar,2021,89
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcar,2022,93
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcycle,2016,1111
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcycle,2017,945
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcycle,2018,911
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcycle,2019,733
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcycle,2020,442
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcycle,2021,177
Johor,Johor Bahru Selatan,property,Theft Vehicle Motorcycle,2022,228
Johor,Johor Bahru Utara,assault,Every Crime,2016,528
Johor,Johor Bahru Utara,assault,Every Crime,2017,412
Johor,Johor Bahru Utara,assault,Every Crime,2018,343
Johor,Johor Bahru Utara,assault,Every Crime,2019,397
Johor,Johor Bahru Utara,assault,Every Crime,2020,246
Johor,Johor Bahru Utara,assault,Every Crime,2021,162
Johor,Johor Bahru Utara,assault,Every Crime,2022,148
Johor,Johor Bahru Utara,assault,Causing Injury,2016,129
Johor,Johor Bahru Utara,assault,Causing Injury,2017,96
Johor,Johor Bahru Utara,assault,Causing Injury,2018,102
Johor,Johor Bahru Utara,assault,Causing Injury,2019,140
Johor,Johor Bahru Utara,assault,Causing Injury,2020,83
Johor,Johor Bahru Utara,assault,Causing Injury,2021,57
Johor,Johor Bahru Utara,assault,Causing Injury,2022,53
Johor,Johor Bahru Utara,assault,Murder,2016,7
Johor,Johor Bahru Utara,assault,Murder,2017,8
Johor,Johor Bahru Utara,assault,Murder,2018,5
Johor,Johor Bahru Utara,assault,Murder,2019,1
Johor,Johor Bahru Utara,assault,Murder,2020,3
Johor,Johor Bahru Utara,assault,Murder,2021,0
Johor,Johor Bahru Utara,assault,Murder,2022,4
Johor,Johor Bahru Utara,assault,Rape,2016,23
Johor,Johor Bahru Utara,assault,Rape,2017,16
Johor,Johor Bahru Utara,assault,Rape,2018,19
Johor,Johor Bahru Utara,assault,Rape,2019,23
Johor,Johor Bahru Utara,assault,Rape,2020,17
Johor,Johor Bahru Utara,assault,Rape,2021,19
Johor,Johor Bahru Utara,assault,Rape,2022,10
Johor,Johor Bahru Utara,assault,Robbery Gang Armed,2016,0
Johor,Johor Bahru Utara,assault,Robbery Gang Armed,2017,1
Johor,Johor Bahru Utara,assault,Robbery Gang Armed,2018,1
Johor,Johor Bahru Utara,assault,Robbery Gang Armed,2019,0
Johor,Johor Bahru Utara,assault,Robbery Gang Armed,2020,0
Johor,Johor Bahru Utara,assault,Robbery Gang Armed,2021,0
Johor,Johor Bahru Utara,assault,Robbery Gang Armed,2022,0
Johor,Johor Bahru Utara,assault,Robbery Gang Unarmed,2016,283
Johor,Johor Bahru Utara,assault,Robbery Gang Unarmed,2017,202
Johor,Johor Bahru Utara,assault,Robbery Gang Unarmed,2018,148
Johor,Johor Bahru Utara,assault,Robbery Gang Unarmed,2019,173
Johor,Johor Bahru Utara,assault,Robbery Gang Unarmed,2020,45
Johor,Johor Bahru Utara,assault,Robbery Gang Unarmed,2021,64
Johor,Johor Bahru Utara,assault,Robbery Gang Unarmed,2022,61
Johor,Johor Bahru Utara,assault,Robbery Solo Armed,2016,0
Johor,Johor Bahru Utara,assault,Robbery Solo Armed,2017,0
Johor,Johor Bahru Utara,assault,Robbery Solo Armed,2018,0
Johor,Johor Bahru Utara,assault,Robbery Solo Armed,2019,0
Johor,Johor Bahru Utara,assault,Robbery Solo Armed,2020,0
Johor,Johor Bahru Utara,assault,Robbery Solo Armed,2021,0
Johor,Johor Bahru Utara,assault,Robbery Solo Armed,2022,0
Johor,Johor Bahru Utara,assault,Robbery Solo Unarmed,2016,86
Johor,Johor Bahru Utara,assault,Robbery Solo Unarmed,2017,89
Johor,Johor Bahru Utara,assault,Robbery Solo Unarmed,2018,68
Johor,Johor Bahru Utara,assault,Robbery Solo Unarmed,2019,60
Johor,Johor Bahru Utara,assault,Robbery Solo Unarmed,2020,98
Johor,Johor Bahru Utara,assault,Robbery Solo Unarmed,2021,22
Johor,Johor Bahru Utara,assault,Robbery Solo Unarmed,2022,20
Johor,Johor Bahru Utara,property,Every Crime,2016,1628
Johor,Johor Bahru Utara,property,Every Crime,2017,1237
Johor,Johor Bahru Utara,property,Every Crime,2018,1306
Johor,Johor Bahru Utara,property,Every Crime,2019,1144
Johor,Johor Bahru Utara,property,Every Crime,2020,760
Johor,Johor Bahru Utara,property,Every Crime,2021,385
Johor,Johor Bahru Utara,property,Every Crime,2022,354
Johor,Johor Bahru Utara,property,Break In,2016,333
Johor,Johor Bahru Utara,property,Break In,2017,229
